project_name,token_symbol,circulating_supply,unlock_amount,unlock_percent,unlock_date
Dynachain,DYNA,41050000,10800000,2.16,2026-02-28 03:25:00 UTC
Ika,IKA,3.00E+09,2.19E+08,2.14,2026-02-28 09:25:00 UTC
Delabs Games,DELABS,7.50E+08,72660000,2.42,2026-02-28 09:25:00 UTC
io.net,IO,2.85E+08,13020000,1.63,2026-02-28 11:25:00 UTC
Hemi,HEMI,9.78E+08,1.81E+08,1.21,2026-02-28 11:25:00 UTC
Mitosis,MITO,1.81E+08,1.05E+08,10.53,2026-02-28 11:25:00 UTC
Haedal Protocol,HAEDAL,3.24E+08,21250000,2.13,2026-02-28 11:25:00 UTC
GaiAI,GAIX,1.64E+08,17240000,1.72,2026-02-28 15:25:00 UTC
MattleFun,MATTLE,17490000,5.21E+11,1.04,2026-02-28 23:25:00 UTC
Shockwaves,NEUROS,61270000,1290000,1.29,2026-02-28 23:25:00 UTC
Nobel for Trump,N4T,81000000,25710000,2.22,2026-02-28 23:25:00 UTC
Hooked Protocol,HOOK,2.84E+08,8330000,1.67,2026-02-28 23:25:00 UTC
Qubetics,TICS,3.30E+08,65090000,4.78,2026-02-28 23:25:00 UTC
AC Milan Fan Token,ACM,12890000,205260,1.03,2026-02-28 23:25:00 UTC
DeBox,BOX,4.75E+08,19680000,1.97,2026-02-28 23:25:00 UTC
GAIA,GAIA,1.70E+08,13330000,1.33,2026-02-28 23:25:00 UTC
PlaysOut,PLAY,8.00E+08,68370000,1.37,2026-02-28 23:25:00 UTC
Origin Protocol,OGN,6.61E+08,15800000,1.12,2026-02-28 23:25:00 UTC
Juventus Fan Token,JUV,14820000,208334,1.04,2026-02-28 23:25:00 UTC
FC Barcelona Fan Token,BAR,22370000,4.15E+14,1.04,2026-02-28 23:25:00 UTC
Paris Saint-Germain Fan Token,PSG,14460000,208334,1.04,2026-02-28 23:25:00 UTC
Atletico De Madrid Fan Token,ATM,7990000,135556,1.36,2026-02-28 23:25:00 UTC
AS Roma Fan Token,ASR,8220000,138889,1.39,2026-02-28 23:25:00 UTC
LETSTOP,STOP,70200000,1290000,1.29,2026-02-28 23:25:00 UTC
Walrus,WAL,1.60E+09,6.33E+08,12.65,2026-02-28 23:25:00 UTC
Forest Protocol,FOREST,1.15E+08,17180000,1.72,2026-02-28 23:25:00 UTC
Alaya Governance Token,AGT,1.87E+09,1.10E+08,2.2,2026-02-28 23:25:00 UTC
Moonchain,MCH,2.49E+08,31200000,3.12,2026-02-28 23:25:00 UTC
Wayfinder,PROMPT,4.06E+08,11040000,1.1,2026-02-28 23:25:00 UTC
Elderglade,ELDE,2.00E+08,11810000,2.95,2026-02-28 23:25:00 UTC
Boop,BOOP,3.13E+08,10550000,1.05,2026-02-28 23:25:00 UTC
Axioma Token,AXT,6.55E+08,18330000,1.83,2026-02-28 23:25:00 UTC
Earn Network,EARN,8.88E+09,2.22E+08,2.22,2026-02-28 23:25:00 UTC
Audiera,BEAT,2.03E+08,21250000,2.12,2026-03-01 07:25:00 UTC
Big Back Bitcoin,BBBTC,1.13E+10,4.04E+08,1.92,2026-03-01 23:25:00 UTC
ReadFi,$RDF,42000000,1590000,1.59,2026-03-01 23:25:00 UTC
Orbler,ORBR,1.01E+09,31010000,1.55,2026-03-01 23:25:00 UTC
Quack AI,Q,3.51E+09,1.03E+08,1.03,2026-03-01 23:25:00 UTC
Sensay,SNSY,5.20E+09,1.04E+08,1.04,2026-03-01 23:25:00 UTC
Versus-X,VSX,1240000,1580000,1.58,2026-03-01 23:25:00 UTC
Bitway,BTW,2.20E+09,2.20E+09,22,2026-03-02 07:25:00 UTC
Web3 TON Token,WEB3,631940,1220000,1.35,2026-03-02 17:25:00 UTC
Tea-Fi,TEA,50010000,11020000,3.67,2026-03-02 23:25:00 UTC
Arcana Network,XAR,4.21E+08,18760000,1.88,2026-03-02 23:25:00 UTC
THORWallet,TITN,42500000,3.02E+08,30.2,2026-03-02 23:25:00 UTC
Etarn,ETAN,84170000,11510000,1.15,2026-03-02 23:25:00 UTC
Hyperbot,BOT,3.67E+08,88970000,8.9,2026-03-03 09:25:00 UTC
VaporFund,VPR,80150000,12860000,1.29,2026-03-03 23:25:00 UTC
Sleepless AI,AI,4.88E+08,17060000,1.71,2026-03-03 23:25:00 UTC
Trailblaze,XBLAZE,4.20E+08,5330000,1.27,2026-03-03 23:25:00 UTC
Stella Fantasy,SFTY,59000000,15710000,1.57,2026-03-03 23:25:00 UTC
SatoshiSync,SSNC,53500000,27290000,2.73,2026-03-03 23:25:00 UTC
Roseon,ROSX,1.07E+08,2110000,1.17,2026-03-03 23:25:00 UTC
ASTERION,ASTER,97000000,18440000,1.84,2026-03-03 23:25:00 UTC
Lagrange,LA,1.93E+08,12700000,1.27,2026-03-03 23:25:00 UTC
Zeus Network,ZEUS,8.72E+08,31880000,3.19,2026-03-03 23:25:00 UTC
Sipher,SIPHER,89740000,15070000,1.51,2026-03-04 15:41:00 UTC
Gata,GATA,1.10E+08,29750000,2.98,2026-03-04 19:25:00 UTC
Cyber Arena,CAT,8.18E+08,55000000,1.1,2026-03-04 23:25:00 UTC
5ire,5IRE,1.46E+09,30170000,2.01,2026-03-04 23:25:00 UTC
Cashtree Token,CTT,2.00E+08,1.25E+08,2.51,2026-03-04 23:25:00 UTC
Gravity (by Galxe),G,1.05E+10,1.22E+08,1.01,2026-03-04 23:25:00 UTC
WorldShards,SHARDS,8.17E+08,5.84E+08,11.68,2026-03-04 23:25:00 UTC
Superp,SUP,2.15E+08,17250000,1.73,2026-03-04 23:25:00 UTC
